Category,Model,RougeL_prefix-probing_mean,RougeL_prefix-probing_std,RougeL_simple_agent_extraction_mean,RougeL_simple_agent_extraction_std,RougeL_simple_agent_jailbreak_mean,RougeL_simple_agent_jailbreak_std,RougeL_simple_agent_extraction_refined_first_mean,RougeL_simple_agent_extraction_refined_first_std,RougeL_simple_agent_extraction_refined_best_no_jail_mean,RougeL_simple_agent_extraction_refined_best_no_jail_std,RougeL_simple_agent_extraction_refined_best_mean,RougeL_simple_agent_extraction_refined_best_std,Spans_prefix-probing,Spans_simple_agent_extraction,Spans_simple_agent_jailbreak,Spans_simple_agent_extraction_refined_first,Spans_simple_agent_extraction_refined_best_no_jail,Spans_simple_agent_extraction_refined_best,Passages_prefix-probing,Passages_simple_agent_extraction,Passages_simple_agent_jailbreak,Passages_simple_agent_extraction_refined_first,Passages_simple_agent_extraction_refined_best_no_jail,Passages_simple_agent_extraction_refined_best,AvgSpanLength_prefix-probing,AvgSpanLength_simple_agent_extraction,AvgSpanLength_simple_agent_jailbreak,AvgSpanLength_simple_agent_extraction_refined_first,AvgSpanLength_simple_agent_extraction_refined_best_no_jail,AvgSpanLength_simple_agent_extraction_refined_best,MaxSpanLength_prefix-probing,MaxSpanLength_simple_agent_extraction,MaxSpanLength_simple_agent_jailbreak,MaxSpanLength_simple_agent_extraction_refined_first,MaxSpanLength_simple_agent_extraction_refined_best_no_jail,MaxSpanLength_simple_agent_extraction_refined_best
Copyrighted_Books,Qwen_Qwen3-32B,0.130675456,0.004120206,0.223228741,0.010708888,0.245076906,0.012846273,0.260153423,0.014673713,0.237808861,0.01290738,0.261506869,0.015156917,2,31,35,53,51,55,2,33,37,55,53,57,7.466666667,22.03333333,22.17777778,22.88860029,22.7397114,22.85685426,71,87,87,87,87,87
Copyrighted_Books,claude-3-7-sonnet-20250219,0.00783601,0.004688294,0.107671675,0.034172462,0.441628002,0.03696165,0.54870967,0.041719912,0.127488162,0.036298206,0.624264779,0.043790495,19,792,6263,8970,1198,11665,21,1417,10330,15912,2077,22006,13.25185185,83.47361815,84.82864572,90.51292443,83.9244906,98.01079729,102,248,333,652,410,1184
Copyrighted_Books,deepseek-chat,0.139122903,0.006676933,0.449462307,0.050430647,0.478702177,0.053194522,0.522999458,0.057155659,0.487915352,0.052689577,0.535464703,0.058394462,30,7426,7448,8148,8103,8299,63,14104,14151,15434,15311,15602,33.72063492,90.76996512,90.67300866,89.30448896,89.0819918,88.3143549,291,796,796,796,796,796
Copyrighted_Books,gemini-2.5-flash-preview-04-17,0.074792661,0.008958974,0.300124312,0.028323576,0.337333945,0.039183025,0.367903196,0.041699633,0.328986728,0.029249604,0.373042518,0.042365431,47,1081,1296,1454,1234,1492,54,1414,1735,1963,1603,2015,25.92745098,57.27945072,57.297668,58.81826523,57.88011054,58.79489029,112,351,431,431,351,431
Copyrighted_Books,gemini-2.5-pro-preview-05-06,0.026748012,0.008351048,0.096553393,0.023989038,0.149228299,0.024056088,0.201923071,0.030182088,0.108646938,0.026070298,0.212315409,0.031617871,144,1151,1489,2112,1275,2240,292,2248,2657,3748,2541,4004,37.1991746,77.64834035,77.25686809,77.44243289,80.46747364,76.46491403,442,783,783,783,783,783
Copyrighted_Books,gpt-4.1-2025-04-14,0.179480901,0.023798808,0.379216385,0.052527328,0.396856982,0.056060618,0.450823591,0.059330107,0.441976498,0.054514891,0.468397969,0.059737339,385,2840,2856,3671,3854,4018,734,5834,5864,7319,7602,7862,65.89151322,78.75811315,78.60935984,82.00757325,81.53417376,80.53950045,291,804,804,804,804,804
Copyrighted_Books,gpt-4.1-mini-2025-04-14,0.12346732,0.006012164,0.246852113,0.015398049,0.262658664,0.018763282,0.291911189,0.021512204,0.285885467,0.018513952,0.305857744,0.02307442,10,95,95,135,147,153,16,160,160,230,247,255,21.18095238,43.23775408,43.23775408,56.339739,57.15678419,56.98978857,126,227,227,227,227,227
Copyrighted_Books,gpt-4.1-nano-2025-04-14,0.113609754,0.00494067,0.197725809,0.015615899,0.215761809,0.01673236,0.243020112,0.017485887,0.223909333,0.015868318,0.244962658,0.017760361,0,28,30,35,33,35,0,29,31,41,39,41,0,17.18,20.01333333,26.38634921,23.55301587,26.38634921,0,82,82,127,127,127
Public_Domain,Qwen_Qwen3-32B,0.136510677,0.003530818,0.225558278,0.01396778,0.246433603,0.014804064,0.257887571,0.016020581,0.235939226,0.015067077,0.258797933,0.016227493,12,37,37,44,44,44,16,50,50,55,55,55,22.85333333,27.59904762,27.59904762,32.56063492,32.56063492,32.56063492,98,200,200,110,110,110
Public_Domain,claude-3-7-sonnet-20250219,0.050884654,0.013750845,0.287630864,0.073319962,0.591667164,0.054374815,0.724642432,0.043524251,0.306095399,0.074926319,0.819107371,0.030164429,661,5029,11819,16194,5484,18886,1610,13091,26206,37144,14312,45758,86.70299429,108.9036157,107.1700125,114.8703916,110.7626195,120.5665157,1171,1440,1440,1440,1440,1440
Public_Domain,deepseek-chat,0.164118731,0.008252492,0.631657672,0.030862707,0.684047686,0.034144667,0.741499475,0.034633914,0.662024518,0.030200399,0.760454606,0.034969563,276,11495,11669,12922,12502,13543,1143,34983,35457,38459,37373,39613,140.2701323,144.84636,144.0768673,141.3511366,142.7383914,138.3034854,1596,2012,2012,2012,2012,2012
Public_Domain,gemini-2.5-flash-preview-04-17,0.07679754,0.009885735,0.275940916,0.030389587,0.334890146,0.036939969,0.366003674,0.041561623,0.303063487,0.03537145,0.370999927,0.042478991,127,1068,1363,1531,1218,1573,198,1770,2280,2570,2030,2644,34.27811837,72.23542447,70.85536678,71.38945488,72.32432336,71.42843716,323,590,590,590,590,590
Public_Domain,gemini-2.5-pro-preview-05-06,0.041700594,0.007452092,0.119300907,0.020878182,0.192218329,0.021167918,0.243935933,0.027035929,0.137572645,0.025010985,0.255420895,0.030088162,448,1721,2660,3465,1927,3615,806,4125,5788,7699,4869,8074,99.02610534,129.0901236,108.5286095,109.3113853,138.1455524,109.1116669,590,782,782,1222,1222,1222
